frame.number	ip.src	ip.dst	mpls.label	mpls.bottom	icmp.type
4	192.168.101.1	192.168.102.1	16,18	0,1	8
5	192.168.102.1	192.168.101.1	18	1	0
6	192.168.101.1	192.168.102.1	16,18	0,1	8
7	192.168.102.1	192.168.101.1	18	1	0
8	192.168.101.1	192.168.102.1	16,18	0,1	8
9	192.168.102.1	192.168.101.1	18	1	0
10	192.168.101.1	192.168.102.1	16,18	0,1	8
11	192.168.102.1	192.168.101.1	18	1	0
12	192.168.101.1	192.168.102.1	16,18	0,1	8
13	192.168.102.1	192.168.101.1	18	1	0
14	192.168.101.1	192.168.102.1	16,18	0,1	8
15	192.168.102.1	192.168.101.1	18	1	0
16	192.168.101.1	192.168.102.1	16,18	0,1	8
17	192.168.102.1	192.168.101.1	18	1	0
18	192.168.101.1	192.168.102.1	16,18	0,1	8
19	192.168.102.1	192.168.101.1	18	1	0
34	192.168.111.1	192.168.112.1	16,19	0,1	8
35	192.168.112.1	192.168.111.1	19	1	0
36	192.168.111.1	192.168.112.1	16,19	0,1	8
37	192.168.112.1	192.168.111.1	19	1	0
38	192.168.111.1	192.168.112.1	16,19	0,1	8
39	192.168.112.1	192.168.111.1	19	1	0
40	192.168.111.1	192.168.112.1	16,19	0,1	8
41	192.168.112.1	192.168.111.1	19	1	0
42	192.168.111.1	192.168.112.1	16,19	0,1	8
43	192.168.112.1	192.168.111.1	19	1	0
44	192.168.111.1	192.168.112.1	16,19	0,1	8
45	192.168.112.1	192.168.111.1	19	1	0
46	192.168.111.1	192.168.112.1	16,19	0,1	8
47	192.168.112.1	192.168.111.1	19	1	0
48	192.168.111.1	192.168.112.1	16,19	0,1	8
49	192.168.112.1	192.168.111.1	19	1	0
